query	gene_name	cluster	gene_set	Description
crm1_damp	CRM1	added_damp	Gsp1 partner	Major karyopherin; involved in export of proteins, RNAs, and ribosomal subunits from the nucleus; exportin
cse1-5002	CSE1	pos_with_GAP	Gsp1 partner	Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm, thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L, overexpression of which is implicated in cancer progression
kap95-e126k	KAP95	pos_with_all	Gsp1 partner	Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p
ntf2-5001	NTF2	pos_with_all	Gsp1 partner	Nuclear envelope protein; interacts with GDP-bound Gsp1p and with proteins of the nuclear pore to transport Gsp1p into the nucleus where it is an essential player in nucleocytoplasmic transport
ntf2-h104y	NTF2	pos_with_all	Gsp1 partner	Nuclear envelope protein; interacts with GDP-bound Gsp1p and with proteins of the nuclear pore to transport Gsp1p into the nucleus where it is an essential player in nucleocytoplasmic transport
rna1-1	RNA1	mixed	Gsp1 partner	GTPase activating protein (GAP) for Gsp1p; involved in nuclear transport
rna1-s116f	RNA1	mixed	Gsp1 partner	GTPase activating protein (GAP) for Gsp1p; involved in nuclear transport
srm1-g282s	SRM1	pos_with_all	Gsp1 partner	Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p; human homolog of the RAN GEF, RCC1, can complement a temperature sensitive point mutant
srm1-ts	SRM1	pos_with_all	Gsp1 partner	Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p; human homolog of the RAN GEF, RCC1, can complement a temperature sensitive point mutant
srp1-5001	SRP1	pos_with_GAP	Gsp1 partner	Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation
yrb1-51	YRB1	pos_with_GAP	Gsp1 partner	Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1
yrb2_damp	YRB2	added_damp	Gsp1 partner	Protein of unknown function; involved in nuclear processes of the Ran-GTPase cycle; involved in nuclear protein export; contains Ran Binding Domain and FxFG repeats; interacts with Srm1p, GTP-Gsp1p, Rna1p and Crm1p; relocalizes to the cytosol in response to hypoxia; not essential for viability
nup60	NUP60	pos_with_all	Gsp1 partner	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153
asm4	ASM4	pos_with_all	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport; induces membrane tubulation, which may contribute to nuclear pore assembly; ASM4 has a paralog, NUP53, that arose from the whole genome duplication
dbp5-1	DBP5	pos_with_all	nuclear transport of protein and mRNA	Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus, remodeling messenger ribonucleoprotein particles (mRNPs), with ATPase activity stimulated by Gle1p, IP6 and Nup159p; involved in translation termination along with Sup45p (eRF1); role in the cellular response to heat stress
gle1-2	GLE1	pos_with_all	nuclear transport of protein and mRNA	Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination
gle1-4	GLE1	pos_with_all	nuclear transport of protein and mRNA	Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination
gle2	GLE2	pos_with_all	nuclear transport of protein and mRNA	RNA export factor associated with the nuclear pore complex (NPC); associates with NUP116p; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p and human RAE1
mex67-ts5	MEX67	pos_with_all	nuclear transport of protein and mRNA	Poly(A)RNA binding protein involved in nuclear mRNA export; component of the nuclear pore; ortholog of human TAP
mog1	MOG1	pos_with_all	nuclear transport of protein and mRNA	Conserved nuclear protein that interacts with GTP-Gsp1p; stimulates nucleotide release from Gsp1p; involved in nuclear protein import; nucleotide release is inhibited by Yrb1p
mlp2	MLP2	mixed	nuclear transport of protein and mRNA	Myosin-like protein associated
nup100	NUP100	mixed	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; NUP100 has a paralog, NUP116, that arose from the whole genome duplication
nup82-5005	NUP82	mixed	nuclear transport of protein and mRNA	Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup159p, and Nup116p); relocalizes to the cytosol in response to hypoxia
nup84	NUP84	mixed	nuclear transport of protein and mRNA	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP107
nup133	NUP133	pos_with_all	nuclear transport of protein and mRNA	Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133
