Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
R0030W	A180T	-0.812352026128822	0.649469765706766	-1.25079267584505	32	0.220078557171529	0.284317703589164	NA	0.791666666666667	0.625
YAL001C	A180T	-3.17763877293182	0.762524988005411	-4.1672585461675	40	0.000160130121995117	0.000425234435075921	NA	0.767857142857143	0.720238095238095
YAL013W	A180T	-2.50325400189372	1.16616613204775	-2.1465672283743	42	0.037649216934154	0.0545343202864413	NA	0.5	0.0833333333333333
YAL035W	A180T	-1.67431586566843	0.936262152372104	-1.78829814003097	32	0.0832005290870637	0.114281186504645	NA	0.886904761904762	0.31547619047619
YAL059W	A180T	-0.817436014272827	0.839452399246609	-0.973772920306689	12	0.349390443978703	0.432664850315596	NA	0.9375	0.1875
YBL002W	A180T	-2.43029574642809	0.666406567016161	-3.6468664426729	45	0.000686276310986944	0.00156209560310362	NA	0.425	0.225
YBL008W	A180T	-3.1242123736366	1.11730727356568	-2.79619800886668	40	0.00790824718665872	0.0140005265008254	NA	0.844827586206897	0.426724137931034
YBL039C	A180T	0.22131197994724	0.759808123683216	0.29127351109964	45	0.772180560728386	0.816598026610993	NA	0.891666666666667	0.802777777777778
YBL103C	A180T	-3.80804156756847	0.8099137107227	-4.70178676709953	38	3.35482392594955e-05	0.000117912193867933	NA	0.71875	0.265625
YBR031W	A180T	-1.42853606266031	0.345743583550223	-4.13177895592906	46	0.000150484301422615	0.000408701682272785	NA	0.375	0.208333333333333
YBR049C	A180T	-2.16158009785455	0.831412975695792	-2.5998873737153	42	0.012815757901667	0.021419343625863	NA	0.59375	0.290178571428571
YBR060C	A180T	-1.8896572538332	0.858725847085138	-2.20053613181374	39	0.0337574937782263	0.0501120559813422	NA	0.864583333333333	0.552083333333333
YBR081C	A180T	-3.13755443942588	0.732988597685235	-4.28049556205133	43	0.000102417064912652	0.000298508274562486	NA	0.785714285714286	0.5
YBR087W	A180T	-2.25725395727761	0.507400063960563	-4.44866707279929	46	5.44116001184314e-05	0.000185776748975787	NA	0.6375	0.4875
YBR117C	A180T	1.64889006062437	0.76210099818818	2.16361094467064	46	0.0357238380997909	0.0520609591820123	NA	0.40625	0.40625
YBR154C	A180T	-3.95259067654092	0.540537292703373	-7.31233668776662	46	3.1045603865465e-09	6.74536302167829e-08	NA	0.595588235294118	0.477941176470588
YBR198C	A180T	-2.41527913856095	0.454320821749568	-5.31624134958161	46	3.02017952380496e-06	1.80455726547346e-05	NA	0.720394736842105	0.694078947368421
YBR215W	A180T	-2.52007209886745	0.781044148234856	-3.22654244905716	44	0.00236715726016645	0.00471458820983152	NA	0.823863636363636	0.778409090909091
YBR231C	A180T	-1.02405893961215	1.28368093993469	-0.79775192398218	45	0.429204186480038	0.518079800852167	NA	0.778846153846154	0.625
YBR245C	A180T	-3.13268935520973	0.622101740536953	-5.0356543810757	45	8.1685580495261e-06	3.86141216136712e-05	NA	0.635922330097087	0.577669902912621
